
SparkFun Test Program ...

Waiting for data

-9.90 00.30 89.70

-9.00 02.10 91.35

-10.80 00.90 90.15

-9.00 01.20 89.85

-10.05 00.45 90.60

-10.35 01.50 91.05

-9.00 00.45 91.65

-9.15 -0.30 90.75

-11.85 01.80 90.45

-9.15 00.75 90.45

-9.75 00.90 91.35

-11.55 00.90 90.60

-10.05 00.90 89.85

-9.90 00.75 89.25

-9.90 00.30 90.75

-9.90 00.75 90.45

-9.15 00.75 90.75

-9.90 -0.30 90.75

-8.70 00.15 89.40

-10.65 00.30 90.45

-8.10 00.30 90.45

-9.60 00.30 90.00

-9.00 00.90 90.90

-10.65 00.75 90.45

-9.15 -0.75 91.80

-9.00 02.85 89.10

-9.90 00.30 91.50

-10.65 02.25 91.05

-9.90 01.50 91.80

-9.75 00.15 90.15

-9.90 00.00 90.00

-9.75 00.45 92.40

-8.85 01.05 89.70

-10.05 00.90 90.90

-9.60 00.30 91.05

-11.55 00.15 90.60

-9.00 00.45 90.60

-9.30 00.15 90.15

-9.75 -0.15 91.95

-10.35 01.05 90.45

-9.90 01.05 91.80

-9.15 00.30 91.05

-11.85 00.75 89.70

-9.30 01.65 89.85

-8.85 00.00 88.95

-8.85 01.80 90.75

-8.70 01.65 90.60

-9.15 01.80 90.75

-9.60 01.05 90.75

-9.75 00.15 89.85

-10.35 01.80 90.00

-10.65 -0.30 90.45

-9.90 -0.30 92.25

-8.70 02.10 91.65

-9.00 01.20 90.15

-8.70 00.45 91.35

-9.30 -0.15 90.15

-8.85 00.30 91.05

-8.70 01.20 90.15

-9.90 00.30 90.75

-9.60 00.75 91.05

-8.40 -0.30 91.05

-10.35 00.75 91.05

-8.70 02.10 91.65

-10.05 00.90 90.15

-9.75 -0.45 91.35

-9.75 00.45 90.90

-9.00 01.65 90.15

-9.15 01.05 91.50

-9.15 -0.75 91.05

-11.10 02.25 90.45

-10.35 00.00 91.05

-10.50 00.90 90.60

-9.00 00.45 89.40

-9.60 00.30 91.50

-10.65 00.30 91.80

-11.10 01.05 90.00

-11.40 00.30 90.00

-10.65 01.50 91.50

-10.35 00.00 91.80

-9.30 02.10 90.90

-9.75 -0.15 89.85

-9.90 00.30 90.45

-9.00 -0.15 90.15

-9.15 00.30 91.05

-9.90 00.30 91.05

-8.70 01.65 90.15

-9.00 01.20 89.85

-9.60 01.05 90.75

-9.90 01.50 91.05

-10.65 01.50 91.05

-8.25 01.20 91.95

-9.75 00.90 91.65

-10.50 00.90 90.90

-9.30 01.20 89.85

-10.50 00.90 91.65

-9.30 00.90 90.90

-9.15 -0.30 89.70

-9.00 00.15 90.90

-9.75 -0.15 91.65

-10.05 -0.15 91.35

-10.05 01.65 90.60

-9.90 -0.30 90.75

-9.60 01.50 88.95

-9.90 01.50 89.70

-9.60 00.00 90.75

-9.90 01.50 89.25

-9.90 00.30 90.00

-9.60 00.75 89.70

-10.05 00.45 89.40

-10.50 00.45 90.60

-9.00 01.65 90.15

-9.00 00.45 90.15

-10.80 01.65 90.60

-9.75 01.20 90.90

-8.85 01.05 92.25

-8.10 01.50 90.75

-9.75 00.45 91.65

-9.75 02.10 90.60

-8.70 01.20 90.90

-10.65 01.80 90.45

-9.30 00.45 91.35

-10.35 00.00 90.75

-9.15 00.75 91.05

-10.80 00.90 91.35

-10.65 00.30 90.75

-9.15 00.00 90.45

-10.80 00.45 90.90

-9.00 02.40 91.65

-10.50 -0.15 89.85

-10.65 -0.30 92.55

-10.50 00.90 91.35

-9.00 00.15 91.35

-9.15 01.80 90.45

-11.10 01.05 91.50

-10.80 00.90 89.40

-8.70 00.90 90.90

-9.75 00.15 90.90

-10.05 00.90 89.40

-9.75 00.15 91.95

-9.90 00.00 90.75

-8.85 01.50 90.75

-11.10 00.75 90.75

-10.80 01.65 90.90

-9.60 -0.75 90.75

-11.10 01.05 92.25

-9.60 00.30 90.45

-9.90 00.00 90.45

-10.05 02.85 91.95

-11.85 00.75 91.80

-10.05 -0.45 91.95

-11.10 00.00 90.75

-9.30 00.15 89.85

-8.40 00.15 90.15

-8.25 00.90 91.95

-8.70 00.45 91.95

-9.15 00.00 90.45

-9.75 00.90 91.65

-9.90 00.30 90.45

-10.80 -0.15 90.60

-9.30 -0.90 90.60

-8.85 00.75 90.45

-9.30 00.90 90.60

-8.10 01.05 90.75

-10.65 00.00 91.05

-9.90 02.25 90.75

-10.65 00.75 90.00

-8.85 00.30 90.45

-9.60 00.00 88.95

-12.30 00.90 90.60

-10.35 01.50 90.75

-9.90 01.80 92.25

-8.85 00.75 91.50

-8.25 01.20 91.65

-9.15 01.05 91.50

-11.10 00.30 91.50

-10.05 01.65 90.90

-9.75 00.15 90.90

-9.00 01.20 89.85

-10.50 00.45 90.90

-9.60 00.00 92.25

-9.90 01.80 91.05

-10.35 00.75 91.50

-8.40 00.00 91.80

-9.75 00.45 91.65

-8.85 02.25 91.80

-10.05 01.20 90.60

-9.00 00.90 90.90

-10.35 01.05 91.50

-9.00 01.65 90.60

-10.35 01.80 90.75

-9.90 01.80 90.75

-9.60 01.05 91.50

-10.50 -0.45 89.85

-10.05 01.20 90.15

-9.75 00.45 90.60

-9.60 01.05 89.85

-8.85 00.00 89.70

-9.75 02.10 90.90

-9.60 01.05 90.00

-9.15 00.30 91.80

-11.40 01.50 92.55

-9.15 01.05 91.80

-8.40 01.05 91.80

-9.00 00.15 92.40

-10.35 01.50 91.50

-9.75 01.20 91.95

-7.95 -0.15 91.95

-9.60 00.75 91.05

-9.15 00.30 90.75

-9.00 00.90 91.95

-7.95 01.20 91.65

-9.30 -0.45 90.90

-9.60 -0.30 91.50

-9.30 00.15 90.90

-9.90 03.75 91.05

